exam_type,exam_date,task_no,task_text,pdf,page,points,time_est,efficiency,difficulty_guess,type,frequency_score,concepts,snippet,task_id,cluster_id,cluster_label
MI,2023-11-27,3,"Zadatak 3. (8 bodova)

Potrebno je implementirati metodu AddSorted, Print i destruktor jednostruko povezane linearne liste
implementirane pokazivačima. Lista treba biti ostvarena korištenjem predložaka (eng. templates). Metoda AddSorted
dodaje novi element u uzlazno sortiranu listu, metoda Print ispisuje listu, a destruktor oslobađa memoriju svih
elemenata liste. Atom liste ListElement i prototipovi funkcija zadani su odsječcima koda u nastavku.
template<typename T> template<typename T>
class ListElement{ class MyList{
public: private:
T item; ListElement<T> *head = nullptr;
ListElement<T>* next; public:
}; void AddSorted(T val){ // vaš kod za AddSorted }
void Print(){ // vaš kod za Print }
~MyList(){ // vaš kod za destruktor }
};",MI_svi_do_2026.pdf,11.0,8.0,20.0,0.4,3.0,core,6.0,linked_list|queue|sorting,Zadatak 3. (8 bodova) Potrebno je implementirati metodu AddSorted...,MI|2023-11-27|3,5,"Ovaj zadatak može biti označen kao:

""Sortiranje reda po veličini""
""Zbrajanje višestrukog elemenata u stogu""
""Silazno sortiranje izvorišnog reda""

Ali prema opisu zadatka, najbolji label bi bio:

**""Redovan rekurzivni zadatak""**

ili

**""Sortiranje i čišćenje redova/stoga""**"
MI,2023-11-27,4,"Zadatak 4. (8 bodova)

Napisati rekurzivnu funkciju copy_reverse koja ulazni stog s kopira u novi stog o na način da sadržaj ulaznog stoga
s ostaje očuvan nakon završetka funkcije. Elementi na novom stogu o, koji funkcija vraća, trebaju biti u obrnutom
redoslijedu u odnosu na elemente stoga s. Funkcija copy_reverse mora imati složenost O(n^2) i mora imati prototip:
template<typename T>
Stack<T>* copy_reverse(Stack<T>& s);
Stog s je adekvatno stvoren i inicijaliziran prije poziva funkcije, te ga se u funkciji može koristiti. Pri radu sa stogom
Stack<T> dozvoljeno je koristiti samo funkcije push i pop te funkciju insert_bottom:
template<typename T> template<typename T>
class Stack{ void insert_bottom(Stack<T>* s, T newEl){
private: Stack<T> tmp;
// privatne članske varijable koje se ne smiju T el;
// koristiti/mijenjati while(s->Pop(el)){
public: tmp.Push(el);
bool push(T val){ }
// Dodavanje na stog.Vraća true ako je
s->Push(newEl);
// dodavanje
while(tmp.Pop(el)){
// uspjelo, a false inače
s->Push(el);
}
}
bool pop(T& val){
}
// Skidanje sa stoga. Vraća true ako je
// skidanje
Primjer:
// uspjelo, a false inače
} • s = 0,1,2,3,4,5
}; ^ vrh stoga s
• o = 5,4,3,2,1,0
^ vrh stoga o
Nije dozvoljeno korištenje pomoćnih funkcija osim push, pop i insert_bottom. Korištenje članskih varijabli koje se
koriste za implementaciju stoga podataka nije dozvoljeno. Promjena prototipa funkcije copy_reverse nije dozvoljena!",MI_svi_do_2026.pdf,11.0,8.0,20.0,0.4,4.0,core,6.0,complexity|queue|stack,Zadatak 4. (8 bodova) Napisati rekurzivnu funkciju copy_reverse...,MI|2023-11-27|4,9,Izvrtanje stoga odozgo nizom
MI,2023-11-27,5,"Zadatak 5. (8 bodova)

Zadano je polje brojeva s elementima:
8,6,6,7,9,3,4,0
Ilustrirajte uzlazno sortiranje zadanog niza brojeva (ispišite polje nakon svake promjene i podcrtajte sve brojeve
relevantne za sljedeći korak) algoritmom Shell Sort uz korake k = 5, 2, 1.",MI_svi_do_2026.pdf,11.0,8.0,20.0,0.4,1.0,core,3.0,sorting,Zadatak 5. (8 bodova) Zadano je polje brojeva...,MI|2023-11-27|5,3,"Here is a possible label for the cluster:

""Uzlažno Sortiranje Algoritama"""
MI,2021-11-28,1,"Zadatak 1. (9 bodova)

a) Zadano je polje prirodnih brojeva A, koje ima n članova (n ≥ 1). Potrebno je napisati rekurzivnu funkciju koja će u
polju A obrnuti redoslijed parnih brojeva u polju. Naputak: potrebno je zamijeniti k-ti parni broj slijeva s k-tim parnim
brojem zdesna (npr. prvi parni broj slijeva treba zamijeniti s prvim parnim brojem zdesna; vidjeti primjere). Neparni
brojevi trebaju ostati na svojim mjestima.
Nije dozvoljeno korištenje pomoćnih struktura podataka. Funkcija treba vratiti broj obavljenih zamjena. Prototip
funkcije je:
int zamijeniParne(int A[],int n);
Primjeri:
Polje A prije poziva funkcije Polje A nakon poziva funkcije Broj obavljenih zamjena
A = {10, 2, 5, 6, 7, 9, 1} A = {6, 2, 5, 10, 7, 9, 1} 1 (zamijenjeni su 10 i 6)
A = {3, 1, 10, 2, 5, 6, 7, 8, 9, 1} A = {3, 1, 8, 6, 5, 2, 7, 10, 9, 1} 2 (zamijenjeni su 10 i 8 te 2 i 6)
A = {1, 5, 1} A = {1, 5, 1} 0
A = {12} A = {12} 0
Napomena: nerekurzivna rješenja neće biti priznata.
b) Odredite složenost funkcije koju ste implementirali u a) dijelu zadatka u O, Ω i Θ notaciji.",,,,,,,,,,,MI|2021-11-28|1,0,"Ovaj zadanični skup može se opisati sledećim šablonom:

""Rekurzivne funkcije i vremena izvođenja""

ili

""Funkcije i njihova vremena izvođenja"""
MI,2021-11-28,2,"Zadatak 2. (8 bodova)
 – RJEŠENJA UPISATI NA OVOME PAPIRU
Za funkcije f i g odredite, ako je moguće, vrijeme izvođenja u Θ notaciji, a ako nije moguće, odredite vrijeme
izvođenja u O i Ω notaciji. Rješenje upišite u pravokutnik pored zadatka.
U primjeru a) polje A je polje prirodnih brojeva, čiji elementi mogu, ali i ne moraju biti sortirani (ne znamo unaprijed).
a) int f(int A[], int n) { // n >= 0, pom(A, n) = Θ(log 2 n) Rješenje:
if (n == 0) return 1;
else {
int zbroj = 0;
for (int i = 1; i < n - 2; i++) {
if (A[i] < A[i + 2])
zbroj += pom(A, i + 2);
else
zbroj += i * (i + 2);
}
return zbroj;
}
}
b) double g(int k) { // k >= 0 Rješenje:
double t = 1.;
if (k <= 1) return 1.;
for (int i = 1; i < k; i++) {
t *= g(i);
}
return t;
}",,,,,,,,,,,MI|2021-11-28|2,0,"Ovaj zadanični skup može se opisati sledećim šablonom:

""Rekurzivne funkcije i vremena izvođenja""

ili

""Funkcije i njihova vremena izvođenja"""
MI,2021-11-28,3,"Zadatak 3. (9 bodova)

Potrebno je implementirati metode AddFirst, Find i destruktor dvostruko povezane linearne liste implementirane
pokazivačima. Lista treba biti ostvarena korištenjem predložaka (eng. templates). Metoda AddFirst dodaje novi
element na početak liste, metoda Find dojavljuje nalazi li se element u listi, a destruktor oslobađa memoriju svih
elemenata liste. Atom liste ListElement i prototipovi funkcija zadani su odsječcima koda u nastavku.
template<typename T> template<typename T>
class ListElement{ class DoubleList{
public: …
T val; public:
ListElement<T>* next; void AddFirst(T val){ // vaš kod za AddFirst }
ListElement<T>* prev; bool Find(T val){ // vaš kod za Find }
}; ~ DoubleList(){ // vaš kod za destruktor }
};",,,,,,,,,,,MI|2021-11-28|3,5,"Ovaj zadatak može biti označen kao:

""Sortiranje reda po veličini""
""Zbrajanje višestrukog elemenata u stogu""
""Silazno sortiranje izvorišnog reda""

Ali prema opisu zadatka, najbolji label bi bio:

**""Redovan rekurzivni zadatak""**

ili

**""Sortiranje i čišćenje redova/stoga""**"
MI,2021-11-28,4,"Zadatak 4. (9 bodova)

Napisati rekurzivnu funkciju koja izvorišni red (sourceq) razdvaja u dva nova reda na način da se svi članovi na parnim
pozicijama stavljaju u prvi red (queue1), a svi članovi na neparnim pozicijama u drugi red (queue2). Nakon izvršavanja
funkcije izvorišni red ostaje prazan. Funkcija mora imati prototip:
template<typename T>
void split(Queue<T>* sourceq, Queue<T>* queue1, Queue<T>* queue2);
Sva tri reda su adekvatno stvorena i inicijalizirana prije poziva funkcije, te ih se u funkciji može koristiti. Pri radu s
redom Queue<T> dozvoljeno je koristiti samo funkcije enqueue i dequeue:
template<typename T> Primjer:
class Queue{ • sourceq = 0,1,2,3,4,5,6,7,8,9
private: • queue1 = 0,2,4,6,8
// privatne članske varijable koje se ne smiju • queue2 = 1,3,5,7,9
// koristiti/mijenjati
public:
bool enqueue(T val){
// Dodavanje u red. Vraća true ako je dodavanje
// uspjelo, a false inače
}
bool dequeue(T& val){
// Skidanje iz reda. Vraća true ako je skidanje
// uspjelo, a false inače
}
};
Korištenje članskih varijabli koje se koriste za implementaciju reda nije dozvoljeno.
Promjena prototipa funkcije i pozivanje pomoćnih funkcija nije dozvoljeno!",,,,,,,,,,,MI|2021-11-28|4,5,"Ovaj zadatak može biti označen kao:

""Sortiranje reda po veličini""
""Zbrajanje višestrukog elemenata u stogu""
""Silazno sortiranje izvorišnog reda""

Ali prema opisu zadatka, najbolji label bi bio:

**""Redovan rekurzivni zadatak""**

ili

**""Sortiranje i čišćenje redova/stoga""**"
MI,2021-11-29,1,"Zadatak 1. (7 bodova)

Zadani su razredi Stack<T> i Queue<T> za koji su definirani konstruktor, članske funkcije za dodavanje elementa te
skidanje elementa. Definicije razreda i prototipovi navedenih funkcija su:
template <class T> class Stack {
public:
Stack();
bool push(T item);
bool pop(T &item);
};
template <class T> class Queue {
public:
Queue();
bool enqueue(T data);
bool dequeue(T &data);
};
Napišite funkciju preurediRed koja će sve elemente iz reda koji su manji od neke zadane vrijednosti v prebaciti na
početak tog istog reda, a ostale elemente na kraj tog istog reda. Nakon prebacivanja, elementi koji su manji od zadane
vrijednosti v trebaju ostati u međusobno nepromijenjenom redoslijedu na početku reda, a elementi koji su veći ili
jednaki v trebaju ostati u međusobno nepromijenjenom redoslijedu na kraju reda (vidjeti primjere). Za preuređenje
elemenata reda dozvoljeno je koristiti isključivo pomoćni stog/stogove. Rješenja koja ne koriste isključivo pomoćni
stog/stogove neće se priznati. Pretpostavite da su definirani operatori usporedbe za tip T.
Prototip funkcije je:
template <class T> void preurediRed (Queue<T>* q, T v);
Napišite i odsječak glavnog programa u kojemu ćete definirati varijablu tipa Queue, napuniti tako definiran red
podatcima tipa int te pozvati funkciju preurediRed.
Primjeri:
Red prije preuređenja: IZLAZ -- 4, 1, 5, 7, 8, 2, 3, 9 -- ULAZ
Za v = 5, red nakon preuređenja treba biti: IZLAZ -- 4, 1, 2, 3, 5, 7, 8, 9 -- ULAZ
Red prije preuređenja: IZLAZ -- 14, 11, 5, 7, 8, 9 -- ULAZ
Za v = 5, red ostaje nepromijenjen nakon poziva funkcije preurediRed: IZLAZ -- 14, 11, 5, 7, 8, 9 -- ULAZ",,,,,,,,,,,MI|2021-11-29|1,5,"Ovaj zadatak može biti označen kao:

""Sortiranje reda po veličini""
""Zbrajanje višestrukog elemenata u stogu""
""Silazno sortiranje izvorišnog reda""

Ali prema opisu zadatka, najbolji label bi bio:

**""Redovan rekurzivni zadatak""**

ili

**""Sortiranje i čišćenje redova/stoga""**"
MI,2021-11-29,2,"Zadatak 2. (7 bodova)

Zadani su nizovi A i B duljine m i n, koji predstavljaju skupove cijelih brojeva (m je broj elemenata skupa A, a n je broj
elemenata skupa B). Brojevi unutar nizova uzlazno su poredani. Napišite rekurzivnu funkciju jestPodskup koja će
provjeriti je li skup B podskup skupa A. Ako je B prazan skup (tj. ako je n = 0), funkcija treba vratiti logičku istinu. Ako
je skup A prazan (tj. ako je m = 0), onda funkcija treba vratiti logičku laž. Vrijeme izvođenja funkcije treba biti O(m).
Prototip funkcije je:
bool jestPodskup(int A[], int B[], int m, int n);
Primjeri:
A = {1, 2, 4, 6, 7, 9}, B = {1, 4, 9} → B je podskup skupa A (funkcija treba vratiti logičku istinu)
A = {1, 2, 4, 6, 7, 9}, B = {1, 4, 10} → B nije podskup skupa A (funkcija treba vratiti logičku laž)",,,,,,,,,,,MI|2021-11-29|2,0,"Ovaj zadanični skup može se opisati sledećim šablonom:

""Rekurzivne funkcije i vremena izvođenja""

ili

""Funkcije i njihova vremena izvođenja"""
MI,2021-11-29,3,"Zadatak 3. (7 bodova)
 – RJEŠENJA UPISATI NA OVOME PAPIRU
Za funkciju f odredite vrijeme izvođenja u O i Ω notaciji i, ako je moguće, vrijeme izvođenja u Θ notaciji. Rješenje
upišite u pravokutnik pored zadatka.
int f(int n) { // n >= 0, g(n) = Θ(n) Rješenje:
if (n == 0) return 1;
else {
int umnozak = 1;
for (int i = 1; i <= n; i *= 10)
umnozak *= g(5) + g(i);
return umnozak;
}
}",,,,,,,,,,,MI|2021-11-29|3,0,"Ovaj zadanični skup može se opisati sledećim šablonom:

""Rekurzivne funkcije i vremena izvođenja""

ili

""Funkcije i njihova vremena izvođenja"""
MI,2021-11-29,4,"Zadatak 4. (7 bodova)

Napisati rekurzivnu funkciju JumpSearchRec kojom se obavlja rekurzivno blokovsko traženje (eng. jump search)
elementa u polju. Prototip funkcije JumpSearchRec i pozivajuća funkcija JumpSearch su zadani kôdom:
bool JumpSearchRec(int A[], const size_t n, const size_t blockSize, const int &item);
bool JumpSearch(int A[], const size_t n, const int &item) {
return JumpSearchRec(A, n, sqrt(n), item);
}
Prilikom implementacije funkcije JumpSearchRec potrebno je koristiti već postojeću funkciju za slijedno traženje (ne
treba ju zasebno implementirati) zadanu prototipom:
bool LinearSearch(int A[], const size_t n, const int &item);
Funkcija JumpSearchRec treba biti ostvarena u složenosti O(n1/2), pri čemu je n broj elemenata polja u kojem se traži.
Napomena: Funkcija mora biti implementirana rekurzivno; iterativna rješenja se neće priznavati. Funkcije
JumpSearch i LinearSearch ne treba pisati, već ih se samo koristi.",,,,,,,,,,,MI|2021-11-29|4,5,"Ovaj zadatak može biti označen kao:

""Sortiranje reda po veličini""
""Zbrajanje višestrukog elemenata u stogu""
""Silazno sortiranje izvorišnog reda""

Ali prema opisu zadatka, najbolji label bi bio:

**""Redovan rekurzivni zadatak""**

ili

**""Sortiranje i čišćenje redova/stoga""**"
MI,2021-11-29,5,"Zadatak 5. (7 bodova)

Zadana je dinamička jednostruka lista koja ima pokazivače na glavu (head) i rep (tail):
template <typename T> class List{
private:
template <typename X> class ListElement{
public:
X el;
ListElement<X> *next;
};
ListElement<T> *head = nullptr;
ListElement<T> *tail = nullptr;
}
Napisati člansku funkciju RemoveFirst klase List koja briše jedan element iz liste. Elemente se briše s glave liste.
Funkcija za brisanje treba imati prototip:
bool RemoveFirst();
te vraćati true ako je brisanje uspjelo, a false inače (ako je lista prazna).
Napisati i vanjsku (ne člansku) funkciju koja će listu zadanu argumentom u potpunosti obrisati pozivanjem prethodno
implementirane funkcije RemoveFirst koja ima prototip:
template <typename T> bool RemoveAllFromList(List<T> *lista);
Funkcija RemoveAllFromList vraća true ako je obrisan barem jedan element liste, a false ako je lista bila prazna.
RJEŠENJA",,,,,,,,,,,MI|2021-11-29|5,5,"Ovaj zadatak može biti označen kao:

""Sortiranje reda po veličini""
""Zbrajanje višestrukog elemenata u stogu""
""Silazno sortiranje izvorišnog reda""

Ali prema opisu zadatka, najbolji label bi bio:

**""Redovan rekurzivni zadatak""**

ili

**""Sortiranje i čišćenje redova/stoga""**"
